rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_18/000,6,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.206,0.937,0.041,correct_only,hit,correct,球L,1.222,0.907,0.076,mixed,hit,1.207,1.222,,0.233
2026_08_18/000,7,球M,1.0–2.5°,clear,,2.19,2.98,1,correct,球M,0.838,0.889,0.064,correct_only,hit,correct,球M,1.057,0.888,0.101,mixed,hit,0.838,1.057,,0.337
2026_08_18/000,8,球R,1.0–2.5°,clear,,2.19,3.08,1,wrong,球M,0.595,0.768,0.333,wrong_only,hit,wrong,球M,0.682,0.671,0.545,wrong_only,hit,,,0.847,1.028
2026_08_18/000,9,球R,1.0–2.5°,clear,,2.19,3.26,1,correct,球R,0.525,0.635,0.524,correct_only,miss,correct,球R,0.864,0.742,0.317,correct_only,miss,0.525,0.864,,
2026_08_18/000,10,球M,1.0–2.5°,clear,,2.19,2.99,1,correct,球M,0.642,0.929,0.061,correct_only,hit,correct,球M,0.871,0.934,0.046,correct_only,hit,0.76,0.917,,
2026_08_18/000,11,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.096,0.959,0.022,mixed,hit,correct,球L,1.133,0.933,0.053,mixed,hit,1.244,1.235,0.608,0.853
2026_08_18/000,12,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.81,0.872,0.112,mixed,hit,correct,球M,1.001,0.841,0.182,mixed,hit,0.844,1.002,0.585,0.917
2026_08_18/000,13,球R,1.0–2.5°,clear,,2.19,3.33,1,correct,球R,0.721,0.948,0.05,mixed,hit,correct,球R,0.977,0.962,0.036,mixed,hit,0.781,1.143,0.673,0.726
2026_08_18/000,14,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.856,0.894,0.112,correct_only,hit,correct,球M,1.02,0.85,0.182,correct_only,hit,0.856,1.02,,
2026_08_18/000,15,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.173,0.884,0.048,correct_only,hit,correct,球L,1.196,0.869,0.054,correct_only,hit,1.173,1.196,,
2026_08_20/000,1,球R,1.0–2.5°,clear,,2.17,2.16,1,correct,球R,0.358,0.775,0.081,correct_only,hit,correct,球R,0.372,0.566,0.215,correct_only,hit,0.498,0.5,,
2026_08_20/000,2,香蕉,<1.0°,clear,,0.41,2.25,1,wrong,球M,1.302,0.689,0.109,wrong_only,miss,none,,,,,none,miss,,,1.302,1.262
2026_08_20/000,3,纸箱子,≥2.5°,clear,,24.07,3.06,1,correct,纸箱子,0.854,1.0,0.0,correct_only,hit,correct,纸箱子,1.273,1.0,0.0,correct_only,hit,0.854,1.273,,
2026_08_20/000,4,苹果粉,1.0–2.5°,clear,,2.09,2.24,1,correct,苹果粉,0.594,0.966,0.015,mixed,hit,correct,苹果粉,1.243,0.894,0.064,mixed,hit,0.594,1.243,0.957,0.953
2026_08_20/000,5,白杯1,1.0–2.5°,clear,,1.84,2.3,1,correct,白杯1,0.612,0.608,0.657,correct_only,hit,correct,白杯1,0.658,0.437,0.609,correct_only,hit,0.612,0.658,0.381,0.404
2026_08_20/000,6,水瓶,<1.0°,clear,,0.41,2.3,1,wrong,白杯1,0.762,0.611,0.651,mixed,miss,wrong,白杯1,0.797,0.425,0.644,mixed,hit,0.568,0.726,0.887,0.843
2026_08_20/000,7,红杯,1.0–2.5°,clear,,1.84,2.31,1,wrong,白杯2,0.882,0.593,0.46,wrong_only,miss,correct,红杯,0.929,0.558,0.692,correct_only,miss,,0.929,1.043,1.072
2026_08_20/000,8,苹果红,<1.0°,clear,,0.41,2.26,1,wrong,球L,1.003,0.503,0.621,wrong_only,miss,none,,,,,none,hit,,0.575,1.25,1.24
2026_08_20/000,9,球M,1.0–2.5°,clear,,1.83,2.23,1,correct,球M,0.587,0.745,0.095,mixed,hit,wrong,水瓶,0.2,0.834,0.62,wrong_only,hit,1.278,1.25,0.659,0.646
2026_08_20/000,10,橘子,<1.0°,clear,,0.41,2.35,1,wrong,苹果红,0.648,0.561,0.34,wrong_only,miss,none,,,,,none,hit,,0.811,0.648,
2026_08_20/000,11,球L,1.0–2.5°,clear,,1.71,2.29,1,correct,球L,0.663,0.749,0.133,mixed,hit,correct,球L,1.019,0.433,0.264,correct_only,hit,1.02,1.019,0.68,0.675
2026_08_20/000,12,白杯2,1.0–2.5°,clear,,2.03,2.31,1,correct,白杯2,0.99,0.681,0.243,mixed,hit,correct,白杯2,1.003,0.469,0.655,mixed,hit,0.99,1.003,1.014,1.022
2026_08_20/001,1,球R,1.0–2.5°,clear,,1.28,2.72,0,correct,球R,1.01,0.679,0.103,correct_only,hit,correct,球R,1.085,0.469,0.174,correct_only,hit,1.01,1.085,,0.026
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,correct,球R,0.525,0.388,0.333,correct_only,hit,none,,,,,none,hit,0.525,0.564,,
2026_08_20/001,3,苹果红,<1.0°,clear,,0.13,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,correct,球L,1.264,0.51,0.289,correct_only,hit,wrong,苹果粉,0.798,0.76,0.148,wrong_only,hit,1.443,1.503,0.177,0.798
2026_08_20/001,5,苹果粉,1.0–2.5°,clear,,1.31,3.22,0,correct,苹果粉,0.82,0.891,0.123,correct_only,hit,correct,苹果粉,1.875,0.865,0.06,correct_only,hit,0.82,1.875,,
2026_08_20/001,6,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,7,球M,<1.0°,clear,,0.89,3.27,0,correct,球M,0.912,0.624,0.082,correct_only,hit,none,,,,,none,hit,0.947,1.02,,
2026_08_20/001,8,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
